41,-2.815316,42.598182,A-124
42,-2.805604,42.596391,A-124
44,-2.7868,42.585636,A-124
56,-2.666075,42.571056,A-124
57,-2.656159,42.572337,A-124
58,-2.648026,42.57667,A-124
59,-2.636594,42.576258,A-124
60,-2.623865,42.574125,A-124
61,-2.613844,42.569678,A-124
62,-2.603246,42.565476,A-124
64,-2.584385,42.556424,A-124
65,-2.579682,42.547794,A-124
66,-2.567126,42.545963,A-124
67,-2.558817,42.541881,A-124
68,-2.550367,42.53614,A-124
69,-2.541363,42.53029,A-124
70,-2.535652,42.522407,A-124
71,-2.526911,42.51693,A-124
74,-2.501442,42.509852,A-124
75,-2.495579,42.501961,A-124
76,-2.489513,42.493813,A-124
3,-2.639399,42.850249,A-132
4,-2.630102,42.845999,A-132
5,-2.619828,42.841566,A-132
6,-2.608107,42.838005,A-132
7,-2.595913,42.838956,A-132
8,-2.583814,42.83766,A-132
9,-2.573398,42.832706,A-132
11,-2.5542,42.821434,A-132
12,-2.543974,42.816282,A-132
13,-2.5379,42.809855,A-132
14,-2.531807,42.803807,A-132
15,-2.52915,42.796648,A-132
16,-2.525539,42.791172,A-132
17,-2.516287,42.790663,A-132
18,-2.507067,42.786738,A-132
19,-2.500545,42.780184,A-132
20,-2.493464,42.773574,A-132
21,-2.487406,42.766683,A-132
22,-2.479422,42.760925,A-132
23,-2.477893,42.754337,A-132
24,-2.469321,42.749065,A-132
25,-2.460328,42.743786,A-132
26,-2.450487,42.739507,A-132
27,-2.438957,42.73717,A-132
28,-2.433732,42.73102,A-132
29,-2.426492,42.725505,A-132
30,-2.423537,42.717428,A-132
31,-2.418591,42.708994,A-132
32,-2.410551,42.701973,A-132
34,-2.394559,42.68922,A-132
35,-2.390366,42.680837,A-132
36,-2.380535,42.67797,A-132
37,-2.369266,42.67489,A-132
38,-2.358619,42.670725,A-132
39,-2.347584,42.672553,A-132
41,-2.325859,42.679279,A-132
140,-1.946794,43.104293,A-15
140,-1.946695,43.104368,A-15
141,-1.956169,43.110882,A-15
141,-1.956055,43.110952,A-15
142,-1.964738,43.1173,A-15
142,-1.964616,43.117335,A-15
143,-1.966381,43.126075,A-15
143,-1.966165,43.126093,A-15
144,-1.96931,43.134567,A-15
144,-1.968981,43.134618,A-15
145,-1.976831,43.141206,A-15
145,-1.976761,43.141431,A-15
146,-1.987843,43.144717,A-15
146,-1.987805,43.144826,A-15
147,-1.998974,43.148196,A-15
147,-1.998908,43.148271,A-15
148,-2.005101,43.154763,A-15
148,-2.004776,43.154833,A-15
149,-2.008332,43.163846,A-15
149,-2.008049,43.163952,A-15
150,-2.012525,43.172047,A-15
150,-2.012343,43.172047,A-15
151,-2.017197,43.180586,A-15
151,-2.017059,43.180597,A-15
152,-2.024986,43.188,A-15
152,-2.025018,43.188202,A-15
153,-2.031216,43.183163,A-15
153,-2.031282,43.183236,A-15
154,-2.039465,43.188209,A-15
154,-2.039589,43.188234,A-15
155,-2.034567,43.19545,A-15
155,-2.034452,43.195503,A-15
156,-2.035627,43.203768,A-15
156,-2.037153,43.203994,A-15
